REEF_ID,REEF_SUB_ID,REEF_NAME,REEF_AREA,LAT_DEG,LAT_MIN,LONG_DEG,LONG_MIN,GAZ_NAME,REEF_CLASS,FULLREEF_ID,G_SECTION,A_SECTOR,SHELF,LONG_DD,LAT_DD,AIMS_REEF_NAME,
14135,S,HELSDON REEF,1060,14,57,145,29.5,HELSDON,CRESCENTIC,14135S,CA,CL,M,145.491667,-14.95,Helsdon Reef,
14136,A,14136A,10,14,56.5,145,20.2,14-136,,14136A,CA,CL,,145.336667,-14.941667,14136A,
14136,B,14136B,10,14,57,145,20,14-136,,14136B,CA,CL,,145.333333,-14.95,14136B,
14137,S,CARTER REEF,1370,14,33,145,35,CARTER,RIBBON,14137S,CA,CL,O,145.583333,-14.55,Carter Reef,
14138,S,YONGE REEF,1110,14,36,145,37.5,YONGE,RIBBON,14138S,CA,CL,O,145.625,-14.6,Yonge Reef,
14139,S,NO NAME REEF,700,14,39,145,39,NO NAME,RIBBON,14139S,CA,CL,O,145.65,-14.65,No Name Reef,
14140,S,14140S,109,14,40,145,39,14-140,,14140S,CA,CL,,145.65,-14.666667,14140S,
14141,S,14141S,40,14,42.5,145,32,14-141,,14141S,CA,CL,,145.533333,-14.708333,14141S,
14142,S,14142S,20,14,43.8,145,35,14-142,,14142S,CA,CL,,145.583333,-14.73,14142S,
14143,S,NORTH DIRECTION REEF,90,14,44.5,145,30.5,NORTH DIRECTION IS,FRINGING,14143S,CA,CL,M,145.508333,-14.741667,North Direction Island,1
14144,S,KEDGE REEF,430,14,46.5,145,31.5,KEDGE,,14144S,CA,CL,,145.525,-14.775,KEDGE REEF,
14145,S,14145S,2420,14,47,145,35,14-145,,14145S,CA,CL,,145.583333,-14.783333,14145S,
14146,S,RIBBON NO 10 REEF,11560,14,48,145,43,RIBBON NO.10,RIBBON,14146S,CA,CL,O,145.716667,-14.8,RIBBON NO 10 REEF,
14147,A,SOUTH DIRECTION REEF (NORTH),190,14,49.5,145,31.5,SOUTH DIRECTION IS (A),FRINGING,14147A,CA,CL,M,145.525,-14.825,South Direction Island,1
14147,B,SOUTH DIRECTION REEF (SOUTH),130,14,48.5,145,31,SOUTH DIRECTION ISLAND(B),,14147B,CA,CL,M,145.516667,-14.808333,SOUTH DIRECTION REEF (SOUTH),
14148,S,HIGH ROCK REEF,10,14,49.5,145,33,HIGH ROCK,,14148S,CA,CL,,145.55,-14.825,HIGH ROCK REEF,
14149,S,14149S,1820,14,52,145,37,14-149,,14149S,CA,CL,,145.616667,-14.866667,14149S,
14150,S,14150S,109,14,53,145,33.5,14-150,,14150S,CA,CL,,145.558333,-14.883333,14150S,
14151,S,NO 10 PATCHES (NO 1),80,14,55.5,145,41.5,14-151,,14151S,CA,CL,,145.691667,-14.925,NO 10 PATCHES (NO 1),
14152,S,NO 10 PATCHES (NO 2),150,14,56,145,41,14-152,PLANAR,14152S,CA,CL,O,145.683333,-14.933333,Number 10 Patches No.2,1
14153,S,14153S,210,14,57,145,41.5,14-153,,14153S,CA,CL,,145.691667,-14.95,14153S,
14154,S,RIBBON NO 9 REEF,1880,14,59.5,145,42.5,RIBBON NO.9,RIBBON,14154S,CA,CL,O,145.708333,-14.991667,Ribbon Reef No.9,1
14159,A,14159A,,14,7,144,42.5,14-159,,14159A,,,,144.708333,-14.116667,14159A,
14159,B,14159B,,14,7.5,144,42,14-159,,14159B,,,,144.7,-14.125,14159B,
14160,S,14160S,,14,11.5,144,51.5,14-160,,14160S,,,,144.858333,-14.191667,14160S,
14701,S,14701S,,0,0,0,0,14-701,,14701S,,,,0,0,14701S,
14702,S,14702S,,0,0,0,0,14-702,,14702S,,,,0,0,14702S,
14703,S,14703S,,0,0,0,0,14-703,,14703S,,,,0,0,14703S,
14704,S,14704S,,0,0,0,0,14-704,,14704S,,,,0,0,14704S,
14705,S,14705S,,0,0,0,0,14-705,,14705S,,,,0,0,14705S,
14706,S,14706S,,0,0,0,0,14-706,,14706S,,,,0,0,14706S,
14707,S,14707S,,0,0,0,0,14-707,,14707S,,,,0,0,14707S,
14708,S,14708S,,0,0,0,0,14-708,,14708S,,,,0,0,14708S,
14709,S,14709S,,0,0,0,0,14-709,,14709S,,,,0,0,14709S,
14710,S,14710S,,0,0,0,0,14-710,,14710S,,,,0,0,14710S,
14711,S,14711S,,0,0,0,0,14-711,,14711S,,,,0,0,14711S,
14712,S,14712S,,0,0,0,0,14-712,,14712S,,,,0,0,14712S,
14713,S,14713S,,0,0,0,0,14-713,,14713S,,,,0,0,14713S,
14714,S,14714S,,0,0,0,0,14-714,,14714S,,,,0,0,14714S,
14715,S,14715S,,0,0,0,0,14-715,,14715S,,,,0,0,14715S,
14716,S,14716S,,0,0,0,0,14-716,,14716S,,,,0,0,14716S,
14717,S,14717S,,0,0,0,0,14-717,,14717S,,,,0,0,14717S,
14718,S,14718S,,0,0,0,0,14-718,,14718S,,,,0,0,14718S,
14719,S,14719S,,0,0,0,0,14-719,,14719S,,,,0,0,14719S,
14720,S,14720S,,0,0,0,0,14-720,,14720S,,,,0,0,14720S,
14721,S,14721S,,0,0,0,0,14-721,,14721S,,,,0,0,14721S,
14722,S,14722S,,0,0,0,0,14-722,,14722S,,,,0,0,14722S,
14723,S,14723S,,0,0,0,0,14-723,,14723S,,,,0,0,14723S,
14724,S,14724S,,0,0,0,0,14-724,,14724S,,,,0,0,14724S,
14725,S,14725S,,0,0,0,0,14-725,,14725S,,,,0,0,14725S,
14726,S,14726S,,0,0,0,0,14-726,,14726S,,,,0,0,14726S,
14727,S,14727S,,0,0,0,0,14-727,,14727S,,,,0,0,14727S,
14728,S,14728S,,0,0,0,0,14-728,,14728S,,,,0,0,14728S,
14729,S,14729S,,0,0,0,0,14-729,,14729S,,,,0,0,14729S,
14730,S,14730S,,0,0,0,0,14-730,,14730S,,,,0,0,14730S,
14731,S,14731S,,0,0,0,0,14-731,,14731S,,,,0,0,14731S,
14732,S,14732S,,0,0,0,0,14-732,,14732S,,,,0,0,14732S,
14733,S,14733S,,0,0,0,0,14-733,,14733S,,,,0,0,14733S,
14734,S,14734S,,0,0,0,0,14-734,,14734S,,,,0,0,14734S,
14735,S,14735S,,0,0,0,0,14-735,,14735S,,,,0,0,14735S,
14736,S,14736S,,0,0,0,0,14-736,,14736S,,,,0,0,14736S,
14737,S,14737S,,0,0,0,0,14-737,,14737S,,,,0,0,14737S,
14738,S,14738S,,0,0,0,0,14-738,,14738S,,,,0,0,14738S,
14739,S,14739S,,0,0,0,0,14-739,,14739S,,,,0,0,14739S,
14740,S,14740S,,0,0,0,0,14-740,,14740S,,,,0,0,14740S,
14741,S,14741S,,0,0,0,0,14-741,,14741S,,,,0,0,14741S,
14743,S,14743S,,0,0,0,0,14-743,,14743S,,,,0,0,14743S,
14744,S,14744S,,0,0,0,0,14-744,,14744S,,,,0,0,14744S,
14745,S,14745S,,0,0,0,0,14-745,,14745S,,,,0,0,14745S,
14746,S,14746S,,0,0,0,0,14-746,,14746S,,,,0,0,14746S,
14747,S,14747S,,0,0,0,0,14-747,,14747S,,,,0,0,14747S,
14748,S,14748S,,0,0,0,0,14-748,,14748S,,,,0,0,14748S,
14749,S,14749S,,0,0,0,0,14-749,,14749S,,,,0,0,14749S,
14750,S,14750S,,0,0,0,0,14-750,,14750S,,,,0,0,14750S,
14751,S,OWEN CHANNEL,,0,0,0,0,OWEN CHANNEL,,14751S,,,,0,0,OWEN CHANNEL,
15001,S,ADA BANK,80,15,0.5,145,27.8,ADA BANK,,15001S,CA,CL,,145.463333,-15.008333,ADA BANK,
